"InstanceName","Solver","ActualRuntime","PredictedRuntime","Prediction_StandardError"
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","abcdsat_r18",0.65,59.6093075296108,149.359034481864
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","CaDiCaL",1.05,384.861759898477,1005.84744354226
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Candy",223.056,1229.55349560068,1419.81292993153
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","cms55.main.all4fixed",26.576,37.5601716582065,187.198386630222
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","COMiniSatPS_Pulsar_drup",38.346,397.438995939086,314.865746574486
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","expGlucose",1007.878,1767.32546979695,1747.5289477515
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","expMC_LRB_VSIDS_Switch",28.167,359.986623350254,286.031065556178
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","expMC_LRB_VSIDS_Switch_2500",16.688,102.446489593909,103.995829352276
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","expMC_VSIDS_LRB_Switch_2500",2333.328,2105.95593257191,582.981804645264
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","GHackCOMSPS_drup",116.529,858.024000338409,786.163354748714
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","glu_mix",89.65,2149.45977394247,1808.48356607066
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Glucose_Hack_Kiel_fastBVE",426.135,1509.98289094755,1176.04385254655
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","glucose.3.0_PADC_10",490.407,2583.52577394247,1517.57960328235
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","glucose.3.0_PADC_3",485.607,2482.32583849408,1485.92446286267
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","glucose3.0",424.138,1745.04358054146,1218.54694435116
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","glucose4.2.1",276.35,2307.82126683587,1602.79386081165
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","gluHack",124.174,1929.42398747885,1777.43870173524
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","inIDGlucose",60.438,1851.53143654822,1509.56773788561
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Lingeling",4.294,809.987000084602,1470.78889169126
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Maple_CM",12.365,105.265325803722,133.294596260223
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Maple_CM_Dist",0.47,94.2395288494078,156.501794840818
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Maple_CM_ordUIP",25.835,204.931135448392,295.992640229604
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Maple_CM_ordUIP.",25.897,172.35321928934,227.113802746899
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Maple_LCM_M1",17.642,56.3059937394245,136.345095899377
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Maple_LCM_Scavel_200_fix2",29.612,179.694489593909,176.15501687091
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Maple_LCM_Scavel_fix2",27.698,133.079788071066,198.13191098568
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Maple_LCM.BCrestart",15.17,143.423428849408,179.268685131134
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Maple_LCM.BCrestart_M1",17.155,91.4599060067682,380.632814735682
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","MapleCOMSPS_CHB_VSIDS_drup",78.233,1165.58892918782,1620.20936119341
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",21.608,180.959599238579,483.373931747101
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","MapleCOMSPS_LRB_VSIDS_drup",27.627,169.76381463621,200.983043175567
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","MapleLCMDistChronoBT",18.986,142.138817174281,185.682232013954
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Minisat.v2.2.0.106.ge2dd095",456.549,3381.39191522843,1745.01371483891
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Riss7.1.fix",1.575,1105.40607698816,1843.25668776191
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","smallsat",40.913,355.470875549916,230.997050090244
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","Sparrow2Riss.2018.fixfix",340.877,1305.80285939086,1662.2953083576
"sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf","YalSAT",5000,5000,0
